DATE,DAY,MONTH,Quarter,YEAR,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,NO. OF  TRADES
27-Feb-26,Friday,February,Q1,2026,EQ,2210.00,2216.40,2153.00,2216.40,2157.00,2161.80,2172.76,2695.00,1848.00,1433096.00,39471.00
26-Feb-26,Thursday,February,Q1,2026,EQ,2230.00,2232.40,2200.10,2231.70,2215.40,2216.40,2214.12,2695.00,1848.00,915342.00,48638.00
25-Feb-26,Wednesday,February,Q1,2026,EQ,2193.20,2237.30,2180.10,2183.00,2225.00,2231.70,2210.01,2695.00,1848.00,1474187.00,63011.00
24-Feb-26,Tuesday,February,Q1,2026,EQ,2168.60,2204.70,2162.20,2191.00,2184.00,2183.00,2182.09,2695.00,1848.00,1152423.00,45878.00
23-Feb-26,Monday,February,Q1,2026,EQ,2180.00,2203.00,2155.30,2160.80,2186.70,2191.00,2185.30,2695.00,1848.00,1103960.00,41831.00
20-Feb-26,Friday,February,Q1,2026,EQ,2160.00,2174.40,2152.10,2156.70,2160.30,2160.80,2162.37,2695.00,1848.00,738454.00,27557.00
19-Feb-26,Thursday,February,Q1,2026,EQ,2218.90,2218.90,2151.00,2211.20,2159.00,2156.70,2175.25,2695.00,1848.00,1101633.00,51782.00
18-Feb-26,Wednesday,February,Q1,2026,EQ,2254.00,2254.00,2188.10,2242.90,2213.00,2211.20,2210.56,2695.00,1848.00,1149398.00,48505.00
17-Feb-26,Tuesday,February,Q1,2026,EQ,2170.00,2252.00,2170.00,2184.60,2244.40,2242.90,2218.44,2695.00,1848.00,1931699.00,62075.00
16-Feb-26,Monday,February,Q1,2026,EQ,2124.20,2190.90,2103.20,2136.60,2181.30,2184.60,2159.21,2695.00,1848.00,1824808.00,69844.00
13-Feb-26,Friday,February,Q1,2026,EQ,2210.00,2210.00,2124.20,2211.80,2127.00,2136.60,2153.02,2695.00,1848.00,1489548.00,57301.00
12-Feb-26,Thursday,February,Q1,2026,EQ,2229.00,2229.50,2201.00,2234.40,2209.00,2211.80,2210.84,2695.00,1848.00,649585.00,33140.00
11-Feb-26,Wednesday,February,Q1,2026,EQ,2232.90,2237.70,2215.10,2228.40,2230.00,2234.40,2229.57,2695.00,1848.00,682320.00,30700.00
10-Feb-26,Tuesday,February,Q1,2026,EQ,2259.00,2268.30,2171.00,2250.10,2227.30,2228.40,2225.16,2695.00,1848.00,1670672.00,72035.00
9-Feb-26,Monday,February,Q1,2026,EQ,2250.00,2288.00,2240.00,2226.40,2250.40,2250.10,2261.50,2695.00,1848.00,1650899.00,50286.00
6-Feb-26,Friday,February,Q1,2026,EQ,2226.10,2238.00,2200.40,2236.60,2219.00,2226.40,2221.02,2695.00,1848.00,933650.00,37449.00
5-Feb-26,Thursday,February,Q1,2026,EQ,2232.00,2243.70,2210.00,2228.20,2232.60,2236.60,2224.95,2695.00,1848.00,992382.00,42025.00
